postId,l1,l2,l3,l4,l5,l6,processed,found,missed
12267,10,1,0,0,0,0,90,11,79
12270,162,17,14,1,0,1,1734,195,1539
12272,254,23,21,6,8,2,2646,314,2332
12276,17,1,2,0,0,0,120,20,100
12278,11,2,2,0,0,0,126,15,111
12282,9,0,0,0,0,0,72,9,63
12283,9,0,1,0,1,0,96,11,85
12284,7,0,0,0,0,0,60,7,53
12285,7,0,0,0,0,0,60,7,53
12286,209,23,15,3,1,0,2028,251,1777
12310,237,39,21,5,1,0,2370,303,2067
0,0,0,0,0,0,0,0,0,0
12324,233,23,12,2,0,0,2250,270,1980
12326,83,6,4,1,0,0,738,94,644
12354,20,4,2,0,0,0,186,26,160
12364,8,2,1,0,0,0,90,11,79
12378,202,22,10,8,7,8,1860,257,1603
12383,229,20,10,0,5,2,1944,266,1678
12385,73,4,1,1,0,0,882,79,803
12392,1450,132,97,46,11,13,13794,1749,12045
12394,1586,222,129,46,45,13,16272,2041,14231
12396,1004,102,92,47,19,9,9552,1273,8279
12398,0,0,0,0,0,0,0,0,0
12400,2045,207,170,47,14,7,19458,2490,16968
12402,2067,237,177,68,5,28,19800,2582,17218
12407,16,2,1,1,0,0,138,20,118
12408,7,1,0,0,0,0,66,8,58
12409,14,4,2,0,1,0,108,21,87
12432,208,28,14,7,3,0,2100,260,1840
12437,281,54,39,15,1,5,2844,395,2449
12441,9,0,1,0,0,0,78,10,68
12461,310,37,31,3,3,3,3282,387,2895
12468,25,3,1,1,0,0,180,30,150
12469,10,1,1,0,0,0,72,12,60
12472,12,0,0,2,0,0,102,14,88
12473,105,17,8,6,0,4,1014,140,874
12855,120,18,16,4,6,3,1212,167,1045
12491,109,11,14,5,1,0,1002,140,862
12501,4,0,0,1,0,0,48,5,43
12504,8,1,1,0,0,0,90,10,80
12505,11,0,1,0,0,0,102,12,90
12523,155,22,10,3,2,0,1740,192,1548
12525,1681,162,143,82,18,21,15288,2107,13181
12527,1115,140,95,37,11,21,10716,1419,9297
12529,1440,128,94,49,20,6,14070,1737,12333
12531,908,134,114,46,7,14,8868,1223,7645
12533,3147,319,239,145,35,36,29640,3921,25719
12535,1195,123,91,31,8,8,11730,1456,10274
12537,1613,172,129,38,19,12,14748,1983,12765
12539,1662,148,125,48,10,36,14712,2029,12683
12541,157,20,15,1,1,1,1440,195,1245
12545,10,1,2,0,0,0,90,13,77
12546,10,1,2,0,0,0,90,13,77
12552,5,0,0,0,0,0,42,5,37
12553,5,3,2,0,0,0,54,10,44
12556,13,1,1,0,0,0,108,15,93
0,0,0,0,0,0,0,0,0,0
12578,116,16,10,2,1,5,1038,150,888
12580,7,1,1,0,0,1,84,10,74
12598,67,7,8,0,1,0,870,83,787
12609,111,14,8,3,2,1,1374,139,1235
12627,135,12,8,5,0,1,1152,161,991
12631,9,0,0,1,0,0,72,10,62
12645,3663,368,266,132,47,25,33240,4501,28739
12647,434,78,37,27,8,5,4488,589,3899
12649,2109,237,176,99,26,28,20070,2675,17395
12653,1070,201,155,80,24,30,12954,1560,11394
12655,1667,207,159,66,20,32,17040,2151,14889
12657,1900,258,229,101,29,29,18888,2546,16342
12659,1412,172,125,54,9,20,13818,1792,12026
12661,1944,237,147,90,28,9,19080,2455,16625
12677,15,0,1,0,0,0,138,16,122
12679,383,52,38,12,5,13,4068,503,3565
12684,12,3,2,0,0,0,120,17,103
12686,6,3,1,0,0,0,60,10,50
12691,14,6,2,0,0,0,132,22,110
12692,145,18,18,1,1,1,1896,184,1712
12696,227,16,16,5,3,0,2208,267,1941
12713,175,10,9,7,0,0,1602,201,1401
12729,86,21,5,1,0,5,1074,118,956
12731,15,0,1,0,0,0,114,16,98
12732,10,0,1,1,0,0,102,12,90
12734,4,0,0,0,0,0,42,4,38
12735,62,11,8,6,0,2,684,89,595
12988,233,14,14,6,0,1,2238,268,1970
12742,84,4,1,0,0,0,792,89,703
12744,320,38,30,3,4,1,3312,396,2916
12746,240,41,21,7,2,2,2700,313,2387
12748,13,1,0,0,0,0,144,14,130
12749,12,3,2,0,0,0,120,17,103
12750,12,3,2,0,0,0,120,17,103
12755,16,2,2,0,0,0,156,20,136
12757,15,3,3,0,0,0,126,21,105
12761,17,2,2,0,0,0,150,21,129
12764,8,1,1,0,0,0,60,10,50
12766,72,16,7,9,0,3,912,107,805
12769,376,27,7,13,6,1,4212,430,3782
12771,1426,237,146,64,42,29,16482,1944,14538
12775,1127,142,93,38,13,14,11028,1427,9601
12778,1646,194,136,88,2,19,15612,2085,13527
12782,1157,205,145,74,22,24,11586,1627,9959
12784,1166,107,85,41,16,15,11694,1430,10264
12786,1605,175,136,69,24,17,15654,2026,13628
12788,2284,233,171,81,34,24,20910,2827,18083
12790,1849,155,124,51,20,23,18330,2222,16108
12792,1852,193,181,65,28,30,19710,2349,17361
12794,1535,197,208,99,25,38,16266,2102,14164
12796,1167,135,138,99,12,19,12498,1570,10928
12798,403,42,32,9,10,4,4098,500,3598
12800,311,46,26,17,3,1,3000,404,2596
12802,302,35,21,6,4,4,2790,372,2418
12804,10,0,0,0,0,0,102,10,92
12806,10,2,0,1,1,3,132,17,115
12807,5,1,0,1,0,0,54,7,47
12858,218,38,19,6,2,4,2184,287,1897
12869,45,3,3,0,0,0,450,51,399
12871,9,2,1,0,0,0,96,12,84
12874,17,3,3,0,0,0,156,23,133
12880,52,7,1,1,3,0,564,64,500
12884,1509,233,147,65,14,16,15228,1984,13244
12886,1307,148,113,32,24,16,12258,1640,10618
12888,1661,152,121,55,41,31,15954,2061,13893
12892,2048,207,158,55,17,36,19782,2521,17261
12894,1538,182,139,59,34,17,15318,1969,13349
12896,1402,173,134,90,19,42,14934,1860,13074
12898,1904,179,135,42,53,14,18822,2327,16495
12900,1908,251,165,61,62,16,19596,2463,17133
12902,854,150,110,51,14,44,9558,1223,8335
12904,4,0,0,0,0,0,36,4,32
12905,196,57,25,11,7,7,2202,303,1899
12916,260,25,19,6,0,0,2436,310,2126
12918,78,16,9,0,1,1,924,105,819
12929,10,1,0,0,0,0,90,11,79
12930,1,0,0,0,0,0,36,1,35
12931,5,0,1,0,0,0,54,6,48
12937,4,2,0,0,0,1,48,7,41
12939,6,1,1,0,0,0,60,8,52
12941,15,1,2,1,0,0,132,19,113
12942,5,0,0,0,1,0,48,6,42
12944,124,17,11,5,1,1,1146,159,987
0,0,0,0,0,0,0,0,0,0
12969,134,18,20,5,4,1,1440,182,1258
12973,1270,190,133,19,14,9,11886,1635,10251
12975,1921,268,125,58,14,9,18324,2395,15929
12977,914,107,74,36,21,13,9354,1165,8189
12979,1362,153,138,67,23,28,13890,1771,12119
12981,1458,186,132,72,13,12,14352,1873,12479
12992,9,0,0,0,0,0,60,9,51
12998,121,13,6,0,1,0,1284,141,1143
0,0,0,0,0,0,0,0,0,0
13007,3,1,0,0,0,0,24,4,20
13008,11,2,0,0,0,0,96,13,83
13009,8,0,0,0,0,0,54,8,46
13011,100,10,4,2,0,0,906,116,790
13018,275,28,26,8,13,5,3186,355,2831
13020,226,22,11,10,0,2,2076,271,1805
13022,15,0,1,0,0,0,132,16,116
13024,139,14,10,11,3,2,1614,179,1435
13031,203,26,17,7,1,2,1788,256,1532
13076,222,24,23,7,2,5,2256,283,1973
13080,14,1,1,1,0,0,120,17,103
13081,7,0,1,0,0,0,84,8,76
13084,2,1,0,0,0,0,42,3,39
0,0,0,0,0,0,0,0,0,0
13114,1917,201,124,49,11,17,18348,2319,16029
13117,2035,235,174,49,19,21,18444,2533,15911
13120,2089,292,249,115,17,33,20874,2795,18079
13122,1775,156,136,77,20,46,17550,2210,15340
13124,1257,203,133,52,41,26,13176,1712,11464
13126,1677,197,136,64,20,24,17634,2118,15516
13128,1638,193,140,66,18,29,16728,2084,14644
13130,2032,231,154,70,6,39,18822,2532,16290
13134,939,107,89,45,20,21,9252,1221,8031
13136,15,0,0,0,0,0,258,15,243
13141,15,0,1,0,0,0,120,16,104
13142,232,26,26,11,3,9,2718,307,2411
13144,10,1,1,0,0,1,102,13,89
13145,6,1,0,1,0,0,66,8,58
13147,6,0,1,0,0,0,84,7,77
13149,74,12,7,4,1,0,918,98,820
13153,88,4,6,0,0,0,876,98,778
13163,117,16,21,12,0,4,1368,170,1198
13166,4,1,0,0,0,1,90,6,84
13179,39,7,1,3,0,1,462,51,411
13189,1159,148,134,47,6,16,12174,1510,10664
13191,980,138,101,49,5,19,10380,1292,9088
13195,2364,215,184,63,14,13,21630,2853,18777
13198,1710,237,178,74,15,18,17196,2232,14964
13200,2033,286,197,75,14,29,20442,2634,17808
13202,4172,512,348,127,54,33,38568,5246,33322
13204,1544,186,182,73,14,12,15114,2011,13103
13213,239,37,27,7,5,3,2652,318,2334
13219,160,25,13,4,2,2,2088,206,1882
13221,4,0,1,0,0,0,54,5,49
13222,3,0,1,0,0,0,36,4,32
13223,8,2,0,0,0,0,84,10,74
13224,354,51,29,12,1,2,3504,449,3055
13226,19,2,2,0,0,0,168,23,145
13228,12,2,0,1,0,0,120,15,105
13229,207,21,13,3,0,1,2022,245,1777
13242,6,0,0,0,0,0,42,6,36
13246,114,15,5,0,0,0,1026,134,892
13248,107,5,3,2,0,0,1134,117,1017
13253,5,1,0,0,0,0,48,6,42
13254,5,0,0,0,0,0,48,5,43
13256,3,0,0,0,0,0,30,3,27
13257,2,0,0,1,0,0,48,3,45
13258,341,40,28,3,3,3,3144,418,2726
13261,13,0,0,0,0,1,108,14,94
13262,8,0,1,0,0,0,78,9,69
13263,14,3,1,0,0,0,126,18,108
13264,233,29,21,13,5,2,2586,303,2283
13270,146,11,1,0,2,0,1392,160,1232
13277,8,1,0,0,0,0,78,9,69
13286,1151,164,118,66,30,53,11406,1582,9824
13304,1199,169,98,43,17,17,12096,1543,10553
0,0,0,0,0,0,0,0,0,0
13337,266,20,12,3,0,0,2412,301,2111
13342,1715,211,169,80,15,26,16530,2216,14314
13344,1461,152,104,40,21,15,14568,1793,12775
13346,2155,199,149,61,14,12,19962,2590,17372
13348,1457,232,198,50,24,18,15594,1979,13615
13350,1645,203,162,68,14,18,16146,2110,14036
13352,61,10,5,1,1,0,798,78,720
13356,235,18,14,15,5,4,2604,291,2313
13358,9,1,0,0,0,0,90,10,80
13362,275,33,26,14,3,3,2886,354,2532
13366,11,1,0,0,0,1,84,13,71
13378,147,6,1,1,0,0,1206,155,1051
13385,238,39,25,17,6,8,2850,333,2517
13400,334,39,39,15,4,3,3552,434,3118
13411,169,11,4,4,2,1,1716,191,1525
13423,1276,211,155,31,25,14,12720,1712,11008
13425,1530,173,147,42,8,25,14898,1925,12973
13427,2238,269,204,86,26,23,20976,2846,18130
13429,1577,197,122,71,16,24,15708,2007,13701
13431,762,87,58,47,3,10,8286,967,7319
13433,1715,239,177,50,24,20,17112,2225,14887
13435,1603,199,143,53,29,21,16464,2048,14416
13437,1388,198,148,52,8,18,13926,1812,12114
13439,45,7,6,0,0,0,516,58,458
13443,120,23,10,5,1,2,1428,161,1267
13476,246,20,18,13,3,0,2484,300,2184
13486,219,42,19,7,4,2,2148,293,1855
13492,11,2,2,0,0,0,72,15,57
13495,6,0,0,0,0,0,48,6,42
13497,8,0,0,0,0,0,66,8,58
13510,309,29,20,6,3,2,3318,369,2949
13518,238,24,11,2,1,1,2394,277,2117
13520,3,1,0,0,0,0,60,4,56
13523,4,0,0,0,0,0,60,4,56
13524,6,1,0,1,0,0,66,8,58
13525,141,8,6,1,0,0,1356,156,1200
13528,145,17,8,0,2,1,1434,173,1261
13536,200,27,14,4,4,4,2040,253,1787
13541,13,0,0,0,0,0,84,13,71
13547,2006,180,123,43,8,13,18288,2373,15915
13549,2075,244,133,112,10,9,20136,2583,17553
13551,1321,150,151,21,15,34,14022,1692,12330
13553,2070,246,149,68,11,23,19932,2567,17365
13555,1915,245,181,84,22,39,19674,2486,17188
13576,400,53,34,11,15,16,3948,529,3419
13579,15,2,1,1,0,0,144,19,125
13581,177,20,10,8,4,1,1872,220,1652
13583,158,19,8,6,0,1,1518,192,1326
13585,212,12,14,4,4,1,2250,247,2003
13587,7,1,1,0,0,0,54,9,45
13589,4,0,0,0,0,0,30,4,26
13590,5,0,0,0,0,0,42,5,37
13592,8,0,0,1,0,0,66,9,57
13593,8,0,0,1,0,0,66,9,57
13632,155,15,5,5,1,0,1458,181,1277
13638,160,19,17,2,1,2,1764,201,1563
13641,10,0,2,0,0,0,114,12,102
13645,3,0,0,0,0,0,24,3,21
13646,108,15,8,14,1,0,1110,146,964
13650,258,26,25,5,3,7,2412,324,2088
13652,347,51,29,1,3,4,3474,435,3039
13654,9,2,2,0,0,0,78,13,65
13657,7,3,0,0,0,0,96,10,86
13664,1568,258,154,54,14,21,14490,2069,12421
13666,1577,214,197,65,18,22,15894,2093,13801
13668,2410,355,228,157,34,35,24354,3219,21135
13670,1682,216,125,67,20,38,16122,2148,13974
13672,2052,191,162,75,14,18,20190,2512,17678
