a,A1
about,A1
about,A1
above,A1
ad,A1
address,A1
address,A1
adult,A1
after,A1
afternoon,A1
again,A1
age,A1
all,A1
all,A1
all,A1
all,A1
also,A1
always,A1
a.m.,A1
an,A1
and,A1
and,A1
and,A1
animal,A1
answer,A1
answer,A1
any,A1
any,A1
anything,A1
anything,A1
apple,A1
April,A1
arm,A1
as,A1
ask,A1
at,A1
at,A1
at,A1
at,A1
August,A1
baby,A1
back,A1
bad,A1
bag,A1
ball,A1
banana,A1
band,A1
bank,A1
baseball,A1
basketball,A1
bat,A1
bath,A1
bathroom,A1
be,A1
beach,A1
bean,A1
beard,A1
beautiful,A1
beautiful,A1
because,A1
bed,A1
bedroom,A1
beer,A1
before,A1
begin,A1
behind,A1
below,A1
best,A1
best,A1
better,A1
better,A1
between,A1
between,A1
between,A1
big,A1
bike,A1
bird,A1
birthday,A1
black,A1
blouse,A1
blue,A1
board,A1
boat,A1
body,A1
book,A1
bookcase,A1
bookstore,A1
boot,A1
boring,A1
both,A1
bottom,A1
box,A1
boy,A1
bread,A1
breakfast,A1
brother,A1
brown,A1
bus,A1
business,A1
busy,A1
busy,A1
but,A1
butter,A1
buy,A1
bye,A1
café,A1
cake,A1
camera,A1
can,A1
can,A1
can,A1
can,A1
cannot,A1
car,A1
carry,A1
cat,A1
catch,A1
catch,A1
CD,A1
CD,A1
cell,A1
chair,A1
change,A1
cheap,A1
check,A1
cheese,A1
child,A1
chocolate,A1
choose,A1
city,A1
class,A1
class,A1
classroom,A1
clean,A1
clean,A1
clock,A1
close,A1
close,A1
closed,A1
closed,A1
clothes,A1
coat,A1
coffee,A1
coffee,A1
cold,A1
color,A1
color,A1
come,A1
come,A1
come,A1
computer,A1
conversation,A1
cook,A1
country,A1
course,A1
cow,A1
cracker,A1
credit,A1
cross,A1
cup,A1
dad,A1
dance,A1
dance,A1
dancing,A1
dark,A1
date,A1
daughter,A1
day,A1
dear,A1
December,A1
desk,A1
dictionary,A1
die,A1
different,A1
difficult,A1
dining,A1
dinner,A1
do,A1
do,A1
doctor,A1
dog,A1
doll,A1
dollar,A1
door,A1
down,A1
draw,A1
